"idate","itime","station_id","qualitaets_niveau_air_temperature","struktur_version_air_temperature","lufttemperatur","rel_feuchte"
1947-01-08,10:00:00,284,5,24,-11.4,88
1947-01-08,11:00:00,284,5,24,-10.5,88
1947-01-08,12:00:00,284,5,24,-9.9,86
1947-01-08,13:00:00,284,5,24,-9,84
1947-01-08,14:00:00,284,5,24,-8.4,82
1947-01-08,15:00:00,284,5,24,-7.6,81
1947-01-08,16:00:00,284,5,24,-7.3,81
1947-01-08,17:00:00,284,5,24,-7.3,81
1947-01-08,18:00:00,284,5,24,-7,81
1947-01-08,19:00:00,284,5,24,-6.8,82
1947-01-08,20:00:00,284,5,24,-6.6,83
1947-01-08,21:00:00,284,5,24,-6.3,84
1947-01-08,22:00:00,284,5,24,-6,85
1947-01-08,23:00:00,284,5,24,-5.7,86
1947-01-09,00:00:00,284,5,24,-5.7,88
1947-01-09,01:00:00,284,5,24,-5.5,89
1947-01-09,02:00:00,284,5,24,-5.1,90
1947-01-09,03:00:00,284,5,24,-4.9,90
1947-01-09,04:00:00,284,5,24,-4.8,90
1947-01-09,05:00:00,284,5,24,-3.9,91
1947-01-09,06:00:00,284,5,24,-4.5,91
1947-01-09,07:00:00,284,5,24,-4.2,92
1947-01-09,08:00:00,284,5,24,-3,89
1947-01-09,09:00:00,284,5,24,-2.4,87
1947-01-09,10:00:00,284,5,24,-2,86
1947-01-09,11:00:00,284,5,24,-2.2,91
1947-01-09,12:00:00,284,5,24,-1.7,95
1947-01-09,13:00:00,284,5,24,-1,96
1947-01-09,14:00:00,284,5,24,-0.6,96
1947-01-09,15:00:00,284,5,24,-0.1,95
1947-01-09,16:00:00,284,5,24,0,95
1947-01-09,17:00:00,284,5,24,0.3,94
1947-01-09,18:00:00,284,5,24,0.4,94
1947-01-09,19:00:00,284,5,24,0.4,93
1947-01-09,20:00:00,284,5,24,0.3,93
1947-01-09,21:00:00,284,5,24,0.5,93
1947-01-09,22:00:00,284,5,24,0.5,93
1947-01-09,23:00:00,284,5,24,0.8,93
1947-01-10,00:00:00,284,5,24,0.6,93
1947-01-10,01:00:00,284,5,24,0.6,94
1947-01-10,02:00:00,284,5,24,0.7,94
1947-01-10,03:00:00,284,5,24,0.8,95
1947-01-10,04:00:00,284,5,24,0.7,96
1947-01-10,05:00:00,284,5,24,0.4,98
1947-01-10,06:00:00,284,5,24,0.2,99
1947-01-10,07:00:00,284,5,24,0.1,100
1947-01-10,08:00:00,284,5,24,0,100
1947-01-10,09:00:00,284,5,24,0.2,99
1947-01-10,10:00:00,284,5,24,0.7,99
1947-01-10,11:00:00,284,5,24,0.8,98
1947-01-10,12:00:00,284,5,24,0.9,98
1947-01-10,13:00:00,284,5,24,0.7,98
1947-01-10,14:00:00,284,5,24,0.9,98
1947-01-10,15:00:00,284,5,24,1,98
1947-01-10,16:00:00,284,5,24,0.9,98
1947-01-10,17:00:00,284,5,24,1,97
1947-01-10,18:00:00,284,5,24,1.2,95
1947-01-10,19:00:00,284,5,24,1.3,95
1947-01-10,20:00:00,284,5,24,1.3,95
1947-01-10,21:00:00,284,5,24,1.4,93
1947-01-10,22:00:00,284,5,24,1.3,94
1947-01-10,23:00:00,284,5,24,1.3,93
1947-01-11,00:00:00,284,5,24,1.2,92
1947-01-11,01:00:00,284,5,24,1,91
1947-01-11,02:00:00,284,5,24,1,88
1947-01-11,03:00:00,284,5,24,0.6,88
1947-01-11,04:00:00,284,5,24,0.4,89
1947-01-11,05:00:00,284,5,24,0.3,89
1947-01-11,06:00:00,284,5,24,0.2,90
1947-01-11,07:00:00,284,5,24,0.2,89
1947-01-11,08:00:00,284,5,24,0.2,90
1947-01-11,09:00:00,284,5,24,0.1,91
1947-01-11,10:00:00,284,5,24,0.2,94
1947-01-11,11:00:00,284,5,24,1,88
1947-01-11,12:00:00,284,5,24,1.5,86
1947-01-11,13:00:00,284,5,24,1.5,86
1947-01-11,14:00:00,284,5,24,1.3,88
1947-01-11,15:00:00,284,5,24,1.2,95
1947-01-11,16:00:00,284,5,24,1,96
1947-01-11,17:00:00,284,5,24,0.6,98
1947-01-11,18:00:00,284,5,24,0.3,99
1947-01-11,19:00:00,284,5,24,0.4,100
1947-01-11,20:00:00,284,5,24,0.4,100
1947-01-11,21:00:00,284,5,24,0.5,100
1947-01-11,22:00:00,284,5,24,0.6,100
1947-01-11,23:00:00,284,5,24,0.7,100
1947-01-12,00:00:00,284,5,24,0.9,100
1947-01-12,01:00:00,284,5,24,1.1,99
1947-01-12,02:00:00,284,5,24,1.4,99
1947-01-12,03:00:00,284,5,24,1.7,98
1947-01-12,04:00:00,284,5,24,1.9,98
1947-01-12,05:00:00,284,5,24,2,95
1947-01-12,06:00:00,284,5,24,4,93
1947-01-12,07:00:00,284,5,24,4.3,91
1947-01-12,08:00:00,284,5,24,2.1,92
1947-01-12,09:00:00,284,5,24,3.1,94
1947-01-12,10:00:00,284,5,24,3.3,95
1947-01-12,11:00:00,284,5,24,4,95
1947-01-12,12:00:00,284,5,24,4.1,93
1947-01-12,13:00:00,284,5,24,4.7,86
1947-01-12,14:00:00,284,5,24,4.4,85
1947-01-12,15:00:00,284,5,24,3.7,91
1947-01-12,16:00:00,284,5,24,3.1,92
1947-01-12,17:00:00,284,5,24,3,88
1947-01-12,18:00:00,284,5,24,4.9,79
1947-01-12,19:00:00,284,5,24,4.4,76
1947-01-12,20:00:00,284,5,24,3.8,77
1947-01-12,21:00:00,284,5,24,3.1,86
1947-01-12,22:00:00,284,5,24,2,90
1947-01-12,23:00:00,284,5,24,2,89
1947-01-13,00:00:00,284,5,24,1.9,91
1947-01-13,01:00:00,284,5,24,1.6,94
1947-01-13,02:00:00,284,5,24,1.1,92
1947-01-13,03:00:00,284,5,24,1.2,93
1947-01-13,04:00:00,284,5,24,1.6,94
1947-01-13,05:00:00,284,5,24,1.8,88
1947-01-13,06:00:00,284,5,24,2.3,87
1947-01-13,07:00:00,284,5,24,2.7,87
1947-01-13,08:00:00,284,5,24,2.7,88
1947-01-13,09:00:00,284,5,24,2.6,90
1947-01-13,10:00:00,284,5,24,3.1,91
1947-01-13,11:00:00,284,5,24,3.7,94
1947-01-13,12:00:00,284,5,24,4,96
1947-01-13,13:00:00,284,5,24,4.3,97
1947-01-13,14:00:00,284,5,24,4.5,97
1947-01-13,15:00:00,284,5,24,4.7,95
1947-01-13,16:00:00,284,5,24,5,94
1947-01-13,17:00:00,284,5,24,4.5,94
1947-01-13,18:00:00,284,5,24,4.7,94
1947-01-13,19:00:00,284,5,24,4.3,94
1947-01-13,20:00:00,284,5,24,3.7,93
1947-01-13,21:00:00,284,5,24,3.5,94
1947-01-13,22:00:00,284,5,24,3.2,95
1947-01-13,23:00:00,284,5,24,3.4,95
1947-01-14,00:00:00,284,5,24,3.6,92
1947-01-14,01:00:00,284,5,24,3.1,90
1947-01-14,02:00:00,284,5,24,3.1,92
1947-01-14,03:00:00,284,5,24,3,87
1947-01-14,04:00:00,284,5,24,3,81
1947-01-14,05:00:00,284,5,24,3,80
1947-01-14,06:00:00,284,5,24,2.9,79
1947-01-14,07:00:00,284,5,24,2.8,82
1947-01-14,08:00:00,284,5,24,2.5,82
1947-01-14,09:00:00,284,5,24,2.7,78
1947-01-14,10:00:00,284,5,24,3,79
1947-01-14,11:00:00,284,5,24,3.4,79
1947-01-14,12:00:00,284,5,24,3.2,83
1947-01-14,13:00:00,284,5,24,3.5,81
1947-01-14,14:00:00,284,5,24,5.6,76
1947-01-14,15:00:00,284,5,24,4,78
1947-01-14,16:00:00,284,5,24,3.6,80
1947-01-14,17:00:00,284,5,24,3.4,80
1947-01-14,18:00:00,284,5,24,3.2,85
1947-01-14,19:00:00,284,5,24,3,88
1947-01-14,20:00:00,284,5,24,3,86
1947-01-14,21:00:00,284,5,24,2.9,92
1947-01-14,22:00:00,284,5,24,2.9,95
1947-01-14,23:00:00,284,5,24,2.8,95
1947-01-15,00:00:00,284,5,24,2.4,96
1947-01-15,01:00:00,284,5,24,2.3,98
1947-01-15,02:00:00,284,5,24,3.3,98
1947-01-15,03:00:00,284,5,24,5.1,96
1947-01-15,04:00:00,284,5,24,5.7,95
1947-01-15,05:00:00,284,5,24,5.1,95
1947-01-15,06:00:00,284,5,24,6.2,95
1947-01-15,07:00:00,284,5,24,6.2,94
